duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
5 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,5137,Subscriber,1981,Male,26.0
10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),364,China Basin St at 3rd St,5407,Subscriber,1975,Male,26.0
16 minutes,81,Berry St at 4th St,10,Washington St at Kearny St,5306,Subscriber,1989,Male,26.0
19 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,5480,Customer,1995,Male,27.0
4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5559,Subscriber,1973,Male,29.0
7 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,4929,Subscriber,1988,Other,27.0
10 minutes,3,Powell St BART Station (Market St at 4th St),39,Scott St at Golden Gate Ave,5547,Subscriber,1983,Male,26.0
14 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5558,Customer,1992,Male,26.0
13 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,4949,Subscriber,1992,Female,27.0
14 minutes,5,Powell St BART Station (Market St at 5th St),70,Central Ave at Fell St,5561,Customer,1991,Male,27.0
21 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5045,Subscriber,1995,Male,26.0
50 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),15,San Francisco Ferry Building (Harry Bridges Plaza),5013,Subscriber,1997,Female,27.0
2 minutes,81,Berry St at 4th St,66,3rd St at Townsend St,4987,Subscriber,1985,Male,26.0
8 minutes,3,Powell St BART Station (Market St at 4th St),42,San Francisco City Hall (Polk St at Grove St),4966,Subscriber,1991,Female,27.0
40 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,4442,Subscriber,1994,Male,29.0
15 minutes,21,Montgomery St BART Station (Market St at 2nd St),383,Golden Gate Ave at Franklin St,1259,Subscriber,1960,Female,26.0
22 minutes,3,Powell St BART Station (Market St at 4th St),115,Jackson Playground,4965,Customer,1957,Female,26.0
37 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),139,Garfield Square (25th St at Harrison St),4846,Subscriber,1994,Male,26.0
8 minutes,5,Powell St BART Station (Market St at 5th St),323,Broadway at Kearny,5200,Subscriber,1985,Male,26.0
14 minutes,5,Powell St BART Station (Market St at 5th St),10,Washington St at Kearny St,5229,Subscriber,1973,Male,26.0
13 minutes,5,Powell St BART Station (Market St at 5th St),10,Washington St at Kearny St,5044,Subscriber,1975,Female,27.0
18 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,5526,Subscriber,1963,Female,27.0
15 minutes,3,Powell St BART Station (Market St at 4th St),107,17th St at Dolores St,1814,Subscriber,1986,Male,29.0
48 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),371,Lombard St at Columbus Ave,3453,Customer,1981,Male,26.0
53 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),371,Lombard St at Columbus Ave,3053,Customer,1983,Female,29.0
53 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),371,Lombard St at Columbus Ave,688,Customer,1980,Male,26.0
15 minutes,5,Powell St BART Station (Market St at 5th St),75,Market St at Franklin St,4827,Customer,2000,Female,29.0
15 minutes,5,Powell St BART Station (Market St at 5th St),75,Market St at Franklin St,5030,Customer,2000,Female,26.0
13 minutes,3,Powell St BART Station (Market St at 4th St),60,8th St at Ringold St,4960,Subscriber,1995,Female,26.0
9 minutes,5,Powell St BART Station (Market St at 5th St),86,Market St at Dolores St,4927,Subscriber,1993,Male,29.0
